百日咳,清蒸鸡蛋羹
百日咳,百合双耳鸡蛋羹
百日咳,排骨汤
百日咳,罗汉果雪耳鸡汤
百日咳,小黄瓜凉拌面
百日咳,黄瓜三丝汤
百日咳,黄瓜拌兔丝
百日咳,黄瓜拌皮丝
苯中毒,豆腐干炒韭菜
苯中毒,素炒小白菜
苯中毒,白菜蛋花粥
喘息样支气管炎,紫苏粥
喘息样支气管炎,菊花芦根茶
喘息样支气管炎,生芦根粥
喘息样支气管炎,鲜芦根粥
喘息样支气管炎,薏仁党参粥
喘息样支气管炎,党参粥
喘息样支气管炎,黄芪粥
喘息样支气管炎,鸡蛋木耳粥
成人呼吸窘迫综合征,百合糖粥
成人呼吸窘迫综合征,百合粥
成人呼吸窘迫综合征,百合花生汤
成人呼吸窘迫综合征,首乌百合粥
成人呼吸窘迫综合征,薏米莲子粥
成人呼吸窘迫综合征,牛奶玉米汤
成人呼吸窘迫综合征,萝卜豆腐汤
成人呼吸窘迫综合征,瓜粒杂锦汤
大叶性肺炎,奶汤锅子鱼
大叶性肺炎,酱豆腐汁烧猪肉
大叶性肺炎,百合汤
大叶性肺炎,山楂百合汤
大叶性肺炎,番茄鸡蛋煎饼
大叶性肺炎,凉拌番茄
大叶性肺炎,番茄猪肝瘦肉汤
大叶性肺炎,番茄牛肉
大楼病综合征,生姜乌梅饮
大楼病综合征,乌梅粥
大楼病综合征,山楂乌梅饮
大楼病综合征,山楂红糖粥
大楼病综合征,山楂桑椹粥
二硫化碳中毒,小麦粥
二硫化碳中毒,荞麦粥
二硫化碳中毒,杂粮粥
二硫化碳中毒,蔬菜杂烩粥
二硫化碳中毒,花生杏仁粥
二硫化碳中毒,豆薯小米粥
二硫化碳中毒,羊腩萝卜丝粥
二硫化碳中毒,绿豆南瓜汤
肺出血－肾炎综合征,肉末冬瓜
肺出血－肾炎综合征,肉松
肺出血－肾炎综合征,五丝白菜卷
肺出血－肾炎综合征,拌肚丝白菜
肺出血－肾炎综合征,冬菇烧白菜
肺出血－肾炎综合征,水萝卜丝拌白菜
肺出血－肾炎综合征,珊瑚白菜墩
肺出血－肾炎综合征,素炒小白菜
肺放线菌病,番茄西米粥
肺放线菌病,番茄牛肉片
肺放线菌病,番茄羊肉汤
肺放线菌病,番茄羊肉蛋花汤
肺放线菌病,番茄皮蛋汤
肺放线菌病,百合炒芦笋
肺放线菌病,百合炖猪蹄
肺放线菌病,鲜百合烧肉
肺曲菌病,银耳粥
肺曲菌病,鸭梨粥
肺曲菌病,雪梨饮
肺曲菌病,川贝酿梨
肺曲菌病,北杏炖雪梨
肺曲菌病,红枣银耳粥
肺曲菌病,冰糖银耳羹
肺曲菌病,椰子银耳煲鸽汤
放射性肺炎,杂粮粥
放射性肺炎,蔬菜杂烩粥
放射性肺炎,小麦粥
放射性肺炎,虾皮香芹燕麦粥
放射性肺炎,荞麦粥
放射性肺炎,花生杏仁粥
放射性肺炎,豆薯小米粥
放射性肺炎,萝卜豆腐汤
肺念珠菌病,小麦粥
肺念珠菌病,荞麦粥
肺念珠菌病,杂粮粥
肺念珠菌病,蔬菜杂烩粥
肺念珠菌病,豆薯小米粥
肺念珠菌病,花生杏仁粥
肺念珠菌病,冬瓜草鱼汤
肺念珠菌病,三鲜冬瓜汤
肺炎球菌肺炎,小黄瓜凉拌面
肺炎球菌肺炎,黄瓜三丝汤
肺炎球菌肺炎,水萝卜拌黄瓜
肺炎球菌肺炎,黄瓜拌豆腐丝
肺炎球菌肺炎,黄瓜拌香菜
肺炎球菌肺炎,小黄瓜西瓜汁
肺炎球菌肺炎,五丝白菜卷
肺炎球菌肺炎,玉竹白菜
肺气肿,糖醋草鱼
肺气肿,炖白鲢鱼
肺气肿,红烧鲢鱼
肺气肿,泡莲藕
肺气肿,凉拌莲藕
肺气肿,山楂糕
肺气肿,百合汁
肺气肿,百合粥
肺炎杆菌肺炎,番茄鸡蛋煎饼
肺炎杆菌肺炎,番茄芹菜汁
肺炎杆菌肺炎,番茄汁
肺炎杆菌肺炎,锅塌番茄
肺炎杆菌肺炎,意式番茄牛肉凉面
肺炎杆菌肺炎,番茄牛肉
肺炎杆菌肺炎,番茄三素
肺炎杆菌肺炎,番茄苹果芝麻蜜
肺脓肿,五丝白菜卷
肺脓肿,香菇扒小白菜
肺脓肿,白菜蛋花粥
肺脓肿,烟肉白菜粥
肺脓肿,圆肉腐竹红枣白菜汤
肺脓肿,桔汁白菜
肺脓肿,土豆丝拌白菜
肺脓肿,炝圆白菜
肺栓塞,番茄鸡蛋煎饼
肺栓塞,番茄菠萝汁
肺栓塞,番茄黄瓜汁
肺栓塞,番茄青豆汤
肺栓塞,番茄洋葱芹菜汁
肺栓塞,番茄汁
肺栓塞,西芹洋葱黄豆番茄汤
肺栓塞,拔丝番茄
肺炎,豌豆绿豆粥
肺炎,酱泥鳅
肺炎,赤小豆粥
肺炎,酱兔肉
肺炎,柏子仁鸡心
肺炎,银耳瘦肉羹
肺炎,西葫芦饺
肺炎,蚕豆粥
肺大泡,银耳羹
肺大泡,杏仁豆腐
肺大泡,杂粮粥
肺大泡,蔬菜杂烩粥
肺大泡,小麦粥
肺大泡,瓜粒杂锦汤
肺大泡,绿豆南瓜汤
肺大泡,冬瓜粒杂锦汤
肺水肿,肉卤鸡蛋
肺水肿,豆苗炒鸡蛋
肺水肿,鸡蛋豆腐汤
肺水肿,首乌煮鸡蛋
肺水肿,鸡蛋家常饼
肺水肿,桂圆鸡蛋汤
肺水肿,糖醋鸡蛋
肺水肿,芥菜鸡蛋汤
非典,奶汤锅子鱼
非典,五丝白菜卷
非典,玉竹白菜
非典,冬菇烧白菜
非典,板栗烧白菜
非典,白菜姜葱汤
非典,芥末拌白菜
非典,椒盐白菜
肺转移瘤,番茄鸡蛋煎饼
肺转移瘤,双菇番茄黄瓜紫菜汤
肺转移瘤,番茄芦笋紫菜汤
肺转移瘤,干贝番茄汤
肺转移瘤,翠衣番茄豆腐汤
肺转移瘤,番茄煮牛肉
肺转移瘤,番茄马蹄(2)
肺转移瘤,草菇熘番茄
肺炎性假瘤,杂粮粥
肺炎性假瘤,蔬菜杂烩粥
肺炎性假瘤,小麦粥
