百日咳,琥乙红霉素片
百日咳,琥乙红霉素颗粒
百日咳,百咳静糖浆
百日咳,穿心莲内酯片
百日咳,红霉素肠溶片
百日咳,环酯红霉素片
苯中毒,布美他尼片
苯中毒,十一味金色丸
苯中毒,注射用布美他尼
苯中毒,注射用呋塞米
苯中毒,盐酸利多卡因注射液
苯中毒,注射用硫代硫酸钠
苯中毒,大月晶丸
苯中毒,仁青芒觉
苯中毒,注射用鼠神经生长因子
苯中毒,地塞米松磷酸钠注射液
喘息样支气管炎,枸橼酸喷托维林片
喘息样支气管炎,氨茶碱片
喘息样支气管炎,二羟丙茶碱片
喘息样支气管炎,胸腺肽肠溶片
喘息样支气管炎,硫酸沙丁胺醇气雾剂
喘息样支气管炎,小青龙合剂
喘息样支气管炎,硫酸沙丁胺醇片
喘息样支气管炎,蛇胆川贝液
喘息样支气管炎,小青龙颗粒
喘息样支气管炎,布地奈德气雾剂
喘息样支气管炎,喷托维林氯化铵糖浆
成人呼吸窘迫综合征,注射用还原型谷胱甘肽钠
成人呼吸窘迫综合征,注射用盐酸氨溴索
成人呼吸窘迫综合征,人血白蛋白
成人呼吸窘迫综合征,盐酸氨溴索葡萄糖注射液
单纯性肺嗜酸粒细胞浸润症,注射用盐酸头孢替安
单纯性肺嗜酸粒细胞浸润症,注射用磺苄西林钠
单纯性肺嗜酸粒细胞浸润症,托西酸舒他西林胶囊
单纯性肺嗜酸粒细胞浸润症,头孢泊肟酯胶囊
单纯性肺嗜酸粒细胞浸润症,头孢氨苄甲氧苄啶片
大叶性肺炎,阿奇霉素胶囊
大叶性肺炎,阿奇霉素分散片
大叶性肺炎,诺氟沙星胶囊
大叶性肺炎,阿奇霉素片
大叶性肺炎,乳酸左氧氟沙星片
大楼病综合征,注射用盐酸溴己新
大楼病综合征,云南花粉片
二硫化碳中毒,布美他尼片
二硫化碳中毒,十一味金色丸
二硫化碳中毒,注射用布美他尼
二硫化碳中毒,注射用呋塞米
二硫化碳中毒,盐酸利多卡因注射液
二硫化碳中毒,注射用硫代硫酸钠
二硫化碳中毒,大月晶丸
二硫化碳中毒,仁青芒觉
二硫化碳中毒,注射用鼠神经生长因子
二硫化碳中毒,地塞米松磷酸钠注射液
肺-胸膜阿米巴病,甲硝唑片
肺-胸膜阿米巴病,甲硝唑维B6片
肺-胸膜阿米巴病,替硝唑片
肺-胸膜阿米巴病,奥硝唑片
肺出血－肾炎综合征,雷公藤多苷片
肺出血－肾炎综合征,注射用甲泼尼龙琥珀酸钠
肺出血－肾炎综合征,蒺藜药酒
肺出血－肾炎综合征,甲泼尼龙片
肺放线菌病,盐酸克林霉素棕榈酸酯分散片
肺放线菌病,注射用美洛西林钠舒巴坦钠
肺放线菌病,盐酸克林霉素棕榈酸酯颗粒
肺放线菌病,盐酸克林霉素胶囊
肺曲菌病,阿奇霉素胶囊
肺曲菌病,阿奇霉素分散片
肺曲菌病,诺氟沙星胶囊
肺曲菌病,阿奇霉素片
肺曲菌病,乳酸左氧氟沙星片
放射性肺炎,阿奇霉素胶囊
放射性肺炎,阿奇霉素分散片
放射性肺炎,诺氟沙星胶囊
放射性肺炎,阿奇霉素片
放射性肺炎,乳酸左氧氟沙星片
肺念珠菌病,硝酸咪康唑乳膏
肺念珠菌病,盐酸特比萘芬片
肺念珠菌病,酮康唑乳膏
肺念珠菌病,环吡酮胺乳膏
肺念珠菌病,硝酸益康唑溶液
肺念珠菌病,伊曲康唑胶囊
肺念珠菌病,克霉唑阴道片
肺念珠菌病,氟康唑胶囊
肺念珠菌病,硝酸益康唑乳膏
肺念珠菌病,盐酸特比萘芬凝胶
肺念珠菌病,盐酸特比萘芬溶液
肺念珠菌病,联苯苄唑乳膏
肺念珠菌病,转移因子口服溶液
肺念珠菌病,硝酸咪康唑栓
肺炎球菌肺炎,氯霉素片
肺炎球菌肺炎,阿奇霉素片
肺炎球菌肺炎,阿奇霉素分散片
肺炎球菌肺炎,阿奇霉素颗粒
肺气肿,祛痰止咳胶囊
肺气肿,如意定喘丸
肺气肿,硫酸特布他林雾化液
肺气肿,茶碱缓释片
肺气肿,氨茶碱片
肺气肿,噻托溴铵粉吸入剂
肺气肿,盐酸班布特罗胶囊
肺气肿,白及颗粒
肺气肿,氨溴特罗口服溶液
肺气肿,化痰平喘片
肺气肿,噻托溴铵粉雾剂
肺气肿,盐酸妥洛特罗片
肺气肿,茶碱缓释胶囊
