1,阳痿
2,乙肝
3,癫痫
4,月经不调
5,颈椎病
6,腰肌劳损
7,尿路感染
8,股骨头坏死
9,精神分裂症
10,早孕反应
11,食道癌
12,麦粒肿
13,鼻咽癌
14,急性胰腺炎
15,胆囊炎
16,地中海贫血
17,子宫内膜癌
18,动脉硬化
19,扁平疣
20,神经衰弱
21,尿道炎
22,性欲亢进
23,哮喘
24,尿毒症
25,流产
26,低血压
27,不孕症
28,肾虚
29,婴幼儿腹泻
30,青光眼
31,肠梗阻
32,肺气肿
33,睾丸炎
34,强直性脊柱炎
35,龟头炎
36,结肠癌
37,性冷淡
38,阴道炎
39,流感
40,肝囊肿
41,鹅口疮
42,大肠癌
43,非淋菌性尿道炎
44,淋巴癌
45,甲沟炎
46,乳房纤维瘤
47,乳头内陷
48,红眼病
49,胰腺癌
50,萎缩性胃炎
51,绝经
52,肛裂
53,小儿急性支气管炎
54,十二指肠溃疡
55,膀胱炎
56,狂犬病
57,植物神经紊乱
58,半月板损伤
59,肾囊肿
60,血管瘤
61,缺铁性贫血
62,牙周病
63,风湿性关节炎
64,心脏病
65,鼻炎
66,慢性宫颈炎
67,毛囊炎
68,小儿发烧
69,附睾炎
70,慢性胆囊炎
71,口臭
72,霉菌性外阴炎
73,猪流感
74,麻疹
75,前列腺癌
76,原发性肝癌
77,焦虑症
78,肾积水
79,神经性皮炎
80,脱发
81,胰腺炎
82,低血糖
83,小儿肺炎
84,急性肠胃炎
85,脑出血
86,阴虱病
87,慢性肾炎
88,白内障
89,甲状腺癌
90,肝硬化
91,多囊卵巢综合征
92,过敏性紫癜
93,拉肚子
94,新生儿黄疸
95,心肌炎
96,中风
97,胆囊息肉
98,骨质疏松
99,偏头痛
100,心绞痛
101,外阴炎
102,支原体感染
103,近视眼
104,银屑病
105,幽门螺杆菌感染
106,贫血
107,子宫内膜异位症
108,反流性食管炎
109,白血病
110,小儿感冒
111,红斑狼疮
112,男性不育
113,梅毒
114,带状疱疹
115,慢性咽炎
116,痛风
117,痛经
118,皮肤过敏
119,肾结石
120,慢性胃炎
121,感冒
122,口腔溃疡
123,细菌性阴道炎
124,胃病
125,荨麻疹
126,艾滋病
127,冠心病
128,盆腔炎
129,湿疹
130,宫颈癌
131,前列腺增生
132,失眠症
133,外阴瘙痒
134,便秘
135,滴虫性阴道炎
136,卵巢囊肿
137,过敏性鼻炎
138,脂肪肝
139,肺炎
140,阴囊湿疹
141,直肠癌
142,慢性鼻炎
143,肺结核
144,甲亢
145,坐骨神经痛
146,骨质增生
147,宫外孕
148,附件炎
149,粉刺
150,灰指甲
151,精索静脉曲张
152,心肌梗塞
153,高脂血症
154,包皮过长
155,水痘
156,胃溃疡
157,类风湿性关节炎
158,手足口病
159,糖尿病
160,脑梗死
161,前列腺炎
162,霉菌性阴道炎
163,早泄
164,高血压
165,宫颈糜烂
166,胆囊结石
167,抑郁症
168,慢性支气管炎
169,淋病
170,性交疼痛
171,白癜风
172,胃癌
173,生殖器疱疹
174,包皮龟头炎
175,腰椎间盘突出
176,肺癌
177,鼻窦炎
178,脚气
179,肩周炎
180,乳腺癌
181,痔疮
182,子宫肌瘤
183,小阴茎
184,乳腺增生
185,尖锐湿疣
186,分泌性中耳炎
187,阴虚火旺
188,老年性阴道炎
189,脂溢性皮炎
190,肾病综合征
191,股癣
192,直肠息肉
193,支原体肺炎
194,皮肤病
195,胃肠神经官能症
196,黑色素瘤
197,骨折
198,败血症
199,跖疣
200,子宫脱垂
201,气胸
202,梅尼埃病
203,面瘫
204,鼠标手
205,鼻息肉
