0,手指甲没有白色月牙
1,血浆胆固醇水平高
2,持续低烧
3,气道高反应性
4,难免流产或不可...
5,嗳腐
6,尿不尽
7,咽喉及口内刺痒
8,胸壁浸润
9,偏侧不注意
10,幽门肌肥大
11,牙齿缝隙大
12,偏执性妄想
13,踝关节肿胀
14,大三阳
15,眼睑震颤
16,耳聋
17,静脉石
18,面容憔悴早老
19,无名指半月甲呈粉红色
20,心肌顿抑
21,发育性畸形
22,心脏左室舒张功能减退
23,呼吸反射调节受损
24,新生儿贫血
25,大便干结呈算盘珠状
26,输尿管梗阻
27,眼睑外翻
28,颈性眩晕
29,第一心音亢进
30,特禀体质
31,郏帮芹
32,腹部肿块
33,消化不良
34,粟粒样丘疹
35,心悸
36,热痱
37,胃肠道排空表现
38,女性膀胱颈梗阻
39,耳廓红肿
40,环甲肌失去收缩...
41,青春期后无精液
42,扁桃体上有白点
43,手指不能屈伸
44,牵引性头痛
45,口苦
46,完全流产
47,痢疾样大便
48,舌乳头增生
49,肢端湿冷
50,肛门湿疹瘙痒
51,扁桃体充血
52,恋爱挫折综合征
53,翻身困难
54,肛裂三联征
55,低射血分数
56,子宫附件肿块
57,眼睛红肿
58,腹部“柔韧感”体征
59,头皮结痂
60,顽固性头痛
61,口唇潮红
62,卵巢性多毛
63,脓尿
64,气血凝滞
65,色素斑
66,肠鸣
67,异源性ACTH
68,前囟张力增高
69,子宫出血
70,食管瘘
71,附睾肿大发硬
72,呼气中有甜臭味
73,发作性嗜睡和食欲亢进
74,鼠尾征
75,剥脱性皮炎
76,眉弓疼痛
77,汗毛过多
78,阴道转移
79,卵巢功能障碍
80,肛门疼痛
81,咯血伴呛咳
82,腰椎疼痛
83,踝阵挛
84,湿疹
85,老人便秘
86,菌血症
87,维生素K缺乏
88,意识短暂中断
89,一过性脑缺血
90,脓肿
91,耳道流脓
92,门脉高压
93,肌肉完全断裂
94,甲营养不良
95,淋巴道转移
96,中上腹持续性疼痛
97,肺纤维化
98,婴儿痉挛症
99,溶血性黄疸
100,角质层过度增厚
101,鼻粘膜苍白水肿
102,腰骶部或下腰部疼痛
103,肌肉撕裂
104,肌肉紧张性疼痛
105,阵发性痴笑
106,面肌抽搐
107,卵巢增大
108,呼吸减慢而不规则
109,睡后手指出现麻...
110,胸痛
111,透明隔腔增宽
112,外阴肿胀
113,现实解体
114,少尿
115,癫痫性头痛
116,呻吟
117,球蛋白异常
118,延髓性麻痹
119,呼吸音减弱
120,角膜瘘
121,耳垂里有硬疙瘩
122,疥疮恐惧
123,缺铁性贫血
124,营养性皮肤改变
125,构音不清
126,图形定向障碍
127,手脚发麻
128,眼球垂直运动障碍
129,呼气困难
130,肠外结核
131,儿童离别焦虑
132,颈髓硬膜外病变
133,结脉
134,肌肉挫伤
135,语音震颤增强
136,阑尾壁缺血坏死
137,手掌疤痕畸形
138,躯干畸形弯曲
139,挖耳出血
140,四肢苔藓样变
141,婴儿枕秃
142,化学性支气管炎
143,颈短
144,兔唇
145,鼻出血
146,下肢发凉
147,叹息样呼吸
148,舌根部脓肿
149,气管移位
150,遗精
151,肠粘连
152,膀胱痉挛
153,食指不明原因疼痛
154,颈椎间盘退变
155,上腹不适
156,听不懂别人及自...
157,异常鱼鳞癣
158,耳蜗性耳聋
159,上腹部肿块及腹胀
160,尿流缓慢
161,药物依赖
162,婴儿睡觉不踏实
163,HGX
164,口渴
165,右背部痛
166,尿道瘘
167,头沉
168,静脉曲张性溃疡
169,前臂及手部肌群...
170,末指短小向内弯...
171,腹痛
172,代林彦
173,知觉消失
174,血压高
175,先兆子痫
176,疑病症
177,心脏淤积淀粉样物质
178,食道粘膜水肿充血
179,肺不张
180,老年人高粘血症
181,脱发
182,足跟步行
183,丧偶后适应性障碍
184,尿偏碱
185,复听
186,前额及颧骨突出
187,嘴角降肌发育不良
188,刷牙时恶心
189,持续性下腹疼痛
190,指甲出现条纹或斑点
191,牵涉性头痛
192,血栓外痔
193,侧肋骨痛
194,口腔黏膜白斑
195,前额头痛
196,感觉障碍
197,前囟饱满
198,情绪性多汗症
199,转氨酶增高
200,上唇肥厚
201,横结肠息肉
202,器质性木僵
203,上肢麻木
204,缄默症
205,瞳孔大小不等
206,韧带拉伤
207,风团
208,维生素B1缺乏
209,自发性骨折
210,头盆不称
211,脑神经麻痹
212,惊恐发作
213,先天性少白头
214,面部皮肤过敏
215,网状青斑
216,伸臂握手疼痛
217,垂体性闭经
218,肌张力过高
219,脸红
220,颧红盗汗
221,鼻翼边缘缺损
222,腹股沟疼痛
223,心脏穿透性损伤
224,舌两侧边缘毛状白斑
225,胸痛伴冷汗
226,肠壁坏死
227,院博
228,垂体切除术后昏迷
229,食物在胃的通过障碍
230,阴茎和阴囊水肿
231,口淡黏腻
232,急性胃扩张
233,自我定向障碍
234,收缩期和舒张期杂音
235,静脉血流滞缓
236,头胀痛
237,子宫下垂
238,持续性肠绞痛
239,肾异位伴随输尿管异位
240,甲身凹沟
241,血清降钙素水平增高
242,C
243,神经纤维过度生长
244,截瘫
245,中暑
246,对多脂饮食不能耐受
247,新生儿母乳喂养...
248,溶血
249,继发性痛经
250,心包破损伤
251,会厌炎
252,肾小球有病理形态改变
253,外展型骨折
254,多克隆型冷球蛋白血症
255,肛门或肛管窄小
256,肛乳头肥大
257,粉红色泡沫样痰
258,呈红色条索，游...
259,思维中断
260,三角韧带损伤
261,妊娠反应
262,闫未娟
263,儿童联想和情感障碍
264,眼球挫伤
265,息肉样损害
266,腭异常
267,心内膜弹力纤维增生
268,下腹疼痛
269,急性肠扭转
270,顽固性口腔溃疡
271,口腔黏膜纤维化
272,粪样呕吐物
273,排卵期腹胀
274,偏瘫
275,手掌硬性水肿
276,贫血
277,痛经
278,胃粘膜损伤
279,直肠肛门内胀痛不适
